division,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf
 New England,454000,432000,463000,463000,388000,351000,672000,555000,431000,563843,519984,636432
 Middle Atlantic,1442000,1123000,1211000,1314000,1314000,1177000,2005000,1544000,1176000,1312407,1246305,1576963
 East North Central,1398000,1700000,1609000,1730000,1499000,1493000,2403000,1955000,1358000,1367049,1091371,1061716
 West North Central,551000,712000,729000,810000,629000,762000,1137000,775000,707000,593829,504260,474165
 South Atlantic,2137000,2076000,2165000,2242000,2053000,1953000,3247000,2169000,1772000,1683847,1509056,1731803
 East South Central,793000,988000,886000,907000,670000,524000,956000,639000,479000,422547,323485,300765
 West South Central,1542000,1252000,1300000,1430000,1245000,1079000,1914000,1272000,1027000,965515,843991,904622
 Mountain,811000,765000,757000,759000,686000,664000,1309000,942000,769000,600179,557385,547274
 Pacific,1189000,1264000,1361000,1354000,1173000,1277000,2162000,1739000,1476000,1582595,1577726,2030650
